title,original_title,date,original_date,content,url,source,scrape_date
رئيس الوزراء يتابع مع وزير قطاع الأعمال مستجدات تطوير صناعة الغزل والنسيج,رئيس الوزراء يتابع مع وزير قطاع الأعمال مستجدات تطوير صناعة الغزل والنسيج,No date found,No date found,"التقى الدكتور مصطفى مدبولي، رئيس مجلس الوزراء، اليوم، محمد شيمي، وزير قطاع الأعمال العام؛ لمتابعة آخر المستجدات المتعلقة بتنفيذ المشروع القومي لتطوير صناعة الغزل والنسيج، بحضور أسامة بشاي، رئيس مجلس إدارة شركة ""أوراسكوم للإنشاءات"".
واستهل رئيس مجلس الوزراء الاجتماع بالإشارة إلى الأهمية الكبيرة التي تمثلها صناعة الغزل والنسيج في مصر، لافتا إلى أن هناك استراتيجية قومية لتطوير هذه الصناعة، وهناك متابعة دورية لتنفيذ هذا المشروع القومي، كما أن لدينا توجيها واضحا من فخامة السيد الرئيس عبد الفتاح السيسي، رئيس الجمهورية، بمواصلة خطة الدولة المصرية للنهوض بصناعة الغزل والنسيج في إطار التوجه التنموي الشامل الذي تنتهجه الدولة، بما يسهم في تعظيم الاستفادة من القدرات المصرية الكامنة في هذا الإطار، ومن ثم دعم الاقتصاد الوطني، خاصةً أن صناعة الغزل والنسيج تعد من الصناعات كثيفة العمالة.
وفي هذا الإطار، أشار الدكتور مصطفى مدبولي إلى أن انعقاد هذا الاجتماع يأتي في ضوء المتابعة المستمرة لمشروعات تطوير شركات الغزل والنسيج، والتي تتم من خلال عدة شركات منفذة، وذلك سعيا للوقوف على أي تحديات قد تواجه تنفيذ هذا المشروع القومي للتطوير، ومن ثم التغلب على هذه التحديات للانتهاء من تطوير صناعة الغزل والنسيج في أقرب وقت ممكن.
وخلال الاجتماع، أكد وزير قطاع الأعمال العام أهمية هذا المشروع الاستراتيجي، لتطوير صناعة الغزل والنسيج، الذي يُعد جزءًا أساسيًا من رؤية الدولة لتحديث وتطوير الصناعات الوطنية، بما يسهم في تعزيز الإنتاج المحلي ورفع كفاءة الشركات التابعة للوزارة، مشيرا إلى أن هذا المشروع يأتي في مقدمة أولويات خطة العمل، ويهدف إلى تحقيق نقلة نوعية في صناعة الغزل والنسيج في مصر.

	وأوضح الوزير أن مشروعات تطوير شركات الغزل والنسيج تسير على قدم وساق للانتهاء منها خلال الفترة المقبلة؛ موضحا أن هذه المشروعات تعتبر جزءاً مهماً من خطة الوزارة للنهوض بقطاع الأعمال العام، وتعمل الوزارة على تحقيق أهداف واضحة تتضمن تحسين الأداء وزيادة التنافسية للشركات التابعة.
ولفت وزير قطاع الأعمال  إلى استهداف الوزارة، من خلال الاستراتيجية التي تتبناها خلال الفترة 2024 -2027، تحقيق أعلى عائد لاستثمارات الدولة في شركات قطاع الأعمال العام؛ لتصبح داعمة للناتج القومي وزيادة قدراتها التنافسية محليا ودوليا.

	وفي ختام الاجتماع، وجه رئيس مجلس الوزراء بضرورة العمل على الانتهاء من المشروعات المنفذة وفقاً للتوقيتات المتفق عليها بين وزارة قطاع الأعمال العام والشركات المنفذة، في ضوء ما تمثله، تلك المشروعات من أهمية خاصة تسهم في دعم قطاع الغزل والنسيج.",https://www.youm7.com/story/2025/4/22/رئيس-الوزراء-يتابع-مع-وزير-قطاع-الأعمال-مستجدات-تطوير-صناعة/6962729,Youm7,2025-04-22 17:05:09
كاميرلينجو أمريكى.. قائم بأعمال الفاتيكان حتى انتخاب البابا الجديد,كاميرلينجو أمريكى.. قائم بأعمال الفاتيكان حتى انتخاب البابا الجديد,No date found,No date found,"بعد وفاة البابا فرنسيس، أمس الاثنين، أصبح الكاردينال الأمريكى كيفين فاريل، قائما بأعمال رئيس الفاتيكان حتى انتخاب بابا جديد، وهو ما يعرف بـ""كاميرلينجو"" الذى يتولى رئاسة الفاتيكان حتى يتم انتخاب بابا جديد.
والكاردينال كيفن فاريل، أصله من دبلن، حصل على الجنسية الأمريكية بعد سنوات طويلة من الخدمة فى الولايات المتحدة، وفقا لصحيفة إنفوباى الأرجنتينية.
ويشغل فاريل، وهو أسقف سابق لدالاس، منصب ""كاميرلينجو"" الذى يكلفه ""الإشراف على الممتلكات والحقوق الدنيوية للفاتيكان وإدارتها"" بعد وفاة أو استقالة البابا.
وتتمثل مهمة الكاميرلينجو فى ""التأكد رسميا من وفاة البابا""، ووضع الأختام على غرفة نومه، ودراسة أوراقه، وتجهيزات الجنازة، كما يكلف الكاميرلينجو باتخاذ الترتيبات العملية للاجتماع السرى، لضمان سرية الإجراءات والتصويت المنظم.
كما يترأس الكاميرلينجو مراسم إصدار شهادة الوفاة، مرتديا ثوب جوقة أبيض ووشاحا أحمر، وهى ""لحظة أولى من الصلاة"" عقب وفاة البابا، ووضع الجثمان فى نعش من الخشب والزنك، وفقا لكتاب لطقوس الجنازة البابوية الذى حدثه البابا فرنسيس العام الماضي.
ويحرر الكاميرلينجو ""وثيقة الوفاة الرسمية"" التى ترفق بشهادة الوفاة التى أعدها مدير إدارة الصحة والنظافة فى الفاتيكان.
وتقتصر صلاحيات الكاميرلينجو على الإدارة اليومية للفاتيكان، ويرأس لجنة من 3 كرادلة آخرين أثناء قيامه بمهامه، وفى حال وجود أمور خطيرة، يجب عليه التشاور مع الهيئة الأوسع للكرادلة.
وفاريل يبلغ من العمر 77 عاما ويحمل درجة ماجستير إدارة الأعمال من جامعة نوتردام بولاية إنديانا.
وفاريل هو أعلى أسقف أمريكى رتبة فى الإدارة المركزية للكنيسة، ويعرف بأنه صانع قرار ومنظم قوى، ويتمتع بميزة إجادته للغتين الإنجليزية والإسبانية، وهما اللغتان الأكثر انتشارا فى الكنيسة العالمية، ويعرف أيضا بتحدثه الإيطالية والأيرلندية.",https://www.youm7.com/story/2025/4/22/كاميرلينجو-أمريكى-قائم-بأعمال-الفاتيكان-حتى-انتخاب-البابا-الجديد/6962655,Youm7,2025-04-22 17:05:17
وزير التموين يؤكد دعم الحكومة الصناعات والمشروعات الصغيرة والمتوسطة,وزير التموين يؤكد دعم الحكومة الصناعات والمشروعات الصغيرة والمتوسطة,No date found,No date found,"ترأس الدكتور شريف فاروق وزير التموين والتجارة الداخلية، اجتماع مجلس إدارة اللجنة العامة للمساعدات الأجنبية التابعة للوزارة، في إطار الحرص على تعظيم الاستفادة من آليات التعاون الدولي، وتعزيز الشراكة مع القطاع الخاص في تنفيذ المشروعات التنموية، إلى جانب دعم تدفق الاستثمارات الأجنبية، وتنسيق الجهود بين الجهات المختلفة بما يسهم في تحقيق أولويات التنمية المستدامة، وذلك بحضور اللواء احمد فتحي -نائب رئيس اللجنة العامة للمساعدات الأجنبية، واحمد كمال معاون الوزير المتحدث الرسمي ، وأعضاء مجلس إدارة اللجنة ممثلى الوزارات والهيئات المختلفة.
واستعرض وزير التموين أبرز إنجازات اللجنة في الفترة الأخيرة، مشيدًا بالدور الفعال الذي تقوم به اللجنة في تنسيق جهود التعاون مع الشركاء الدوليين والقطاع الخاص، بما يسهم في دعم البرامج التنموية ذات الأولوية.
وأكد الدكتور شريف فاروق على أهمية تعميق الشراكة مع القطاع الخاص في تنفيذ مشروعات اللجنة، مشيرًا إلى أن حجم الاستثمارات التي تم تنفيذها بالتعاون مع القطاع الخاص والاستثمارات الأجنبية بلغ نحو 576 مليون جنيه، مما يعكس ثقة المستثمرين والشركاء في البيئة الاستثمارية المصرية، ودور اللجنة في تهيئة المناخ الملائم لتنفيذ المشروعات التنموية.
وأوضح أن اللجنة تسعى إلى تعظيم الاستفادة من المساعدات الخارجية من خلال توجيهها إلى مشروعات ذات أثر مباشر ومستدام، خاصة في قطاعات الأمن الغذائي، ودعم الصناعات والمشروعات الصغيرة والمتوسطة.
وفي سياق متصل أطلع الدكتور شريف فاروق خلال الاجتماع على عددًا من الملفات الإستراتيجية، من بينها خطة اللجنة للتوسع في الشراكات الدولية، وآليات تسهيل وتعزيز مشاركة القطاع الخاص في تصميم وتنفيذ المبادرات التنموية، بما يتماشى مع رؤية مصر 2030.
وفي ختام الاجتماع، شدد الوزير على أهمية استمرار التنسيق بين الجهات المختلفة لضمان التكامل وتحقيق أقصى استفادة ممكنة من الموارد المتاحة.",https://www.youm7.com/story/2025/4/22/وزير-التموين-يؤكد-دعم-الحكومة-الصناعات-والمشروعات-الصغيرة-والمتوسطة/6962688,Youm7,2025-04-22 17:05:27
الأردن يجدد رفضه التام لأية محاولات لتهجير الفلسطينيين من الضفة أو غزة,الأردن يجدد رفضه التام لأية محاولات لتهجير الفلسطينيين من الضفة أو غزة,No date found,No date found,"استقبل العاهل الأردني، الملك عبدالله الثاني في قصر الحسينية، اليوم الثلاثاء، وفدا من مساعدي أعضاء مجلسي الشيوخ والنواب في الكونجرس الأمريكي.
وبحسب وكالة الأنباء الأردنية، شدد الملك عبد الله على ضرورة استعادة وقف إطلاق النار في غزة، واستئناف إيصال المساعدات الإنسانية.
وحذر من خطورة استمرار التصعيد في الضفة الغربية، والانتهاكات للمقدسات في القدس، مؤكدا رفض الأردن لأية محاولات لتهجير الفلسطينيين في الضفة الغربية وغزة.
وتم بحث الشراكة الاستراتيجية بين البلدين، والدور المحوري للولايات المتحدة في المنطقة، خلال اللقاء بحضور كل من الأمير الحسين بن عبدالله الثاني ولي العهد، ونائب رئيس الوزراء ووزير الخارجية وشؤون المغتربين أيمن الصفدي، ومدير مكتب الملك، المهندس علاء البطاينة.",https://www.youm7.com/story/2025/4/22/الأردن-يجدد-رفضه-التام-لأية-محاولات-لتهجير-الفلسطينيين-من-الضفة/6962689,Youm7,2025-04-22 17:05:37
رئيس الوزراء: مشروع رأس الحكمة يدعم جهود الدولة لتطوير قطاع السياحة,رئيس الوزراء: مشروع رأس الحكمة يدعم جهود الدولة لتطوير قطاع السياحة,No date found,No date found,"عقد اليوم الثلاثاء، الدكتور مصطفى مدبولي، رئيس مجلس الوزراء، اجتماعًا لاستعراض مُستجدات تنفيذ مشروع مدينة ""رأس الحكمة"" بالساحل الشمالي الغربي، وذلك بحضور جاسم الزعابي، رئيس مجلس إدارة مجموعة ""مُدن القابضة""، والوفد المرافق له.
وفي مستهل الاجتماع، أعرب رئيس مجلس الوزراء عن تقديره للتعاون القائم بين الجانبين لمتابعة تنفيذ مشروع مدينة رأس الحكمة، مؤكدًا اهتمام الدولة المصرية بمتابعة تنفيذ المشروع وفقًا للتوقيتات والجداول الزمنية المُحددة، ودعمه الكامل لأي إجراءات من شأنها تسريع وتيرة تنفيذ المشروع، وذلك في إطار اهتمام الدولة بتطوير منطقة الساحل الشمالي الغربي.
كما أكد الدكتور مصطفى مدبولي، أن مشروع رأس الحكمة سيمثل طفرة كبيرة في مجال تطوير المنطقة، بما يدعم جهود الدولة لتطوير قطاع السياحة وزيادة أعداد السائحين الوافدين وأعداد الغرف الفندقية، مشيرًا إلى أن هذا المشروع المهم يعكس مدى عمق العلاقات بين الدولتين الشقيقتين مصر والامارات، وحرص قادة البلدين على تعزيز وتعميق التعاون في مختلف المجالات.
بدوره، أعرب جاسم الزعابي، رئيس مجلس إدارة مجموعة ""مُدن القابضة"" عن تقديره لرئيس الوزراء لدعمه إنجاز المشروع، مستعرضًا جهود الشركة خلال الفترة الماضية لمتابعة تنفيذ المشروع، من خلال البدء في وضع المخطط العام للمشروع بكل ما يحتويه من مرافق وخدمات تعكس أرقى معايير التصميم على مستوى العالم، بما يجعل المشروع نقطة جذب سياحي واعدة في منطقة البحر المتوسط.
وفي ختام اللقاء، أبدى رئيس الوزراء تقديره لحجم المجهود المبذول من جانب الشركة، مشيدًا بما اطلع عليه من تصميم لمشروع رأس الحكمة، وهو ما يجعل من المنطقة نقطة جذب سياحي واعدة، مؤكدًا استمرار التنسيق والمتابعة مع الجانب الإماراتي الشقيق لتنفيذ هذا المشروع الهام.",https://www.youm7.com/story/2025/4/22/رئيس-الوزراء-مشروع-رأس-الحكمة-يدعم-جهود-الدولة-لتطوير-قطاع/6962678,Youm7,2025-04-22 17:05:46
ممثل الصحة العالمية: الأدوية واللقاحات المصرية تتمتع بفعالية ومأمونية عالية,ممثل الصحة العالمية: الأدوية واللقاحات المصرية تتمتع بفعالية ومأمونية عالية,No date found,No date found,"قال الدكتور نعمة عبد ممثل منظمة الصحة العالمية فى مصر: ""لا يمكن أن يكون هناك تغطية صحية شاملة بدون وجود نظام إمداد فعال لتوصيل الأدوية والمستلزمات إلى المريض""، موضحا أن كل الإجراءات والتداخلات الهدف منها هو خدمة المواطن وأن تصل إليه بفعالية وبأسعار مناسبة.
وأوضح، أن ""الدروس التى استفدناها خلال جائحة كورونا، إن مصر لم تنتج فقط الدواء ولكن أيضا المستلزمات واللقاحات وأحب أن شيد بـ هيئة الدواء المصرية، وأصبحت مصر الدولة الأولى فى قارة أفريقيا التى تحصل على درجة النضج من المرحلة الثالثة فى إنتاج اللقاحات والأدوية، وهذا يعطى ضمان أن المنتج المصرى من الأدوية واللقاحات له فعالية ومأمونية عالية ويمكن تصديره إلى دول العالم"".
وقال، إن ""ما لفت انتباهى التطور الكبير الذى حدث من إنشاء الهيئة العامة للرعاية الصحية إلى الآن فى مجال الإمداد الدوائى والذى يسهم فى تقديم خدمة كبيرة للمواطن المصرى بكفاءة عالية"".
وأوضح، أن منظمة الصحة العالمية هى داعمة لكل هذه البرامج وواحدة من البرامج المهمة كيفية الحصول على الأدوية والمستلزمات الطبية وهى تشمل التصنيع إلى أن تصل إلى المخازن وحتى تصل إلى المواطن، واستخدام التكنولوجيا فى إدارة سلسلة الإمداد، مؤكدا أن الدروس التى استفدناها خلال جائحة كورونا هو ليس فقط تصنيع الدواء ولكن أيضا المستلزمات واللقاحات.",https://www.youm7.com/story/2025/4/22/ممثل-الصحة-العالمية-الأدوية-واللقاحات-المصرية-تتمتع-بفعالية-ومأمونية-عالية/6962651,Youm7,2025-04-22 17:05:55
وزير التموين: موسم توريد القمح المحلى لعام 2025 يشهد انطلاقة قوية,وزير التموين: موسم توريد القمح المحلى لعام 2025 يشهد انطلاقة قوية,No date found,No date found,"أكد الدكتور شريف فاروق وزير التموين والتجارة الداخلية، أن موسم توريد القمح المحلي لعام 2025 يشهد انطلاقة قوية تعكس حرص الدولة على دعم الفلاح المصري وتحقيق الأمن الغذائى، حيث تم تحديد سعر توريد مغرٍ وعادل يتجاوز السعر العالمي، بما يضمن عائدًا مجزيًا للفلاح ويشجعه على التوريد.
وأشار فاروق إلى أن كافة المؤشرات حتى الآن تدعو إلى التفاؤل والثقة بتحقيق المستهدف من الكميات الموردة، مؤكداً إلى أن الدولة سخّرت جميع إمكانياتها لإنجاح الموسم، من خلال جاهزية نقاط الاستلام وتوفير كل التيسيرات اللازمة للمزارعين.
وأكد الدكتور شريف فاروق، نحن نعتمد على منظومة قوية تضم جميع الجهات المسوقة، وفي مقدمتها جهاز مستقبل مصر للتنمية المستدامة، بالإضافة إلى الشركة القابضة للصوامع والتخزين، وشركات المطاحن التابعة للشركة القابضة للصناعات الغذائية، والبنك الزراعي المصري، حيث تعمل جميعها بتناغم كامل لضمان انسيابية عمليات التوريد على مستوى الجمهورية.
وأوضح الدكتور شريف فاروق، أن الوزارة قامت بتجهيز أكثر من 420 نقطة تجميع واستلام لتقليل عبء النقل عن المزارعين وتسهيل عمليات التسليم، مؤكدًا أنه سيتم صرف المستحقات المالية للموردين خلال 48 ساعة فقط من تاريخ التوريد، وذلك في إطار حرص الدولة على دعم الفلاح المصري وتحقيق الاستقرار له.
ولفت الوزير إلى أنه تم تشكيل غرفة عمليات مركزية بالوزارة تعمل على مدار الساعة لمتابعة الموقف أولاً بأول، بالإضافة إلى غرف عمليات في جميع مديريات التموين لمتابعة التنفيذ ميدانيًا والتعامل الفوري مع أى تحديات، كما شدد الدكتور شريف فاروق بأننا أمام موسم واعد يحمل الخير للفلاح والدولة معًا، وندعو جميع المزارعين إلى سرعة التوريد والاستفادة من السعر المجزي والخدمات المقدمة، دعمًا لمخزوننا الاستراتيجي وتحقيقًا لأمننا الغذائي الوطني.",https://www.youm7.com/story/2025/4/22/وزير-التموين-موسم-توريد-القمح-المحلى-لعام-2025-يشهد-انطلاقة/6962668,Youm7,2025-04-22 17:06:07
"رئيس الوزراء يتابع مستجدات تنفيذ مشروع مدينة ""رأس الحكمة""","رئيس الوزراء يتابع مستجدات تنفيذ مشروع مدينة ""رأس الحكمة""",No date found,No date found,"عقد اليوم الدكتور مصطفى مدبولي، رئيس مجلس الوزراء، اجتماعًا لاستعراض مُستجدات تنفيذ مشروع مدينة ""رأس الحكمة"" بالساحل الشمالي الغربي، وذلك بحضور جاسم الزعابي، رئيس مجلس إدارة مجموعة ""مُدن القابضة""، والوفد المرافق له.
وفي مستهل الاجتماع، أعرب رئيس مجلس الوزراء عن تقديره للتعاون القائم بين الجانبين لمتابعة تنفيذ مشروع مدينة رأس الحكمة، مؤكدًا اهتمام الدولة المصرية بمتابعة تنفيذ المشروع وفقًا للتوقيتات والجداول الزمنية المُحددة، ودعمه الكامل لأي إجراءات من شأنها تسريع وتيرة تنفيذ المشروع، وذلك في إطار اهتمام الدولة بتطوير منطقة الساحل الشمالي الغربي.
كما أكد الدكتور مصطفى مدبولي أن مشروع رأس الحكمة سيمثل طفرة كبيرة في مجال تطوير المنطقة، بما يدعم جهود الدولة لتطوير قطاع السياحة وزيادة أعداد السائحين الوافدين وأعداد الغرف الفندقية، مشيرًا إلى أن هذا المشروع المهم يعكس مدى عمق العلاقات بين الدولتين الشقيقتين مصر والامارات، وحرص قادة البلدين على تعزيز وتعميق التعاون في مختلف المجالات.
بدوره، أعرب جاسم الزعابي، رئيس مجلس إدارة مجموعة ""مُدن القابضة"" عن تقديره لرئيس الوزراء لدعمه إنجاز المشروع، مستعرضًا جهود الشركة خلال الفترة الماضية لمتابعة تنفيذ المشروع، من خلال البدء في وضع المخطط العام للمشروع بكل ما يحتويه من مرافق وخدمات تعكس أرقى معايير التصميم على مستوى العالم، بما يجعل المشروع نقطة جذب سياحي واعدة في منطقة البحر المتوسط.
وفي ختام اللقاء، أبدى رئيس الوزراء تقديره لحجم المجهود المبذول من جانب الشركة، مشيدًا بما اطلع عليه من تصميم لمشروع رأس الحكمة، وهو ما يجعل من المنطقة نقطة جذب سياحي واعدة، مؤكدًا استمرار التنسيق والمتابعة مع الجانب الإماراتي الشقيق لتنفيذ هذا المشروع الهام.",https://www.youm7.com/story/2025/4/22/رئيس-الوزراء-يتابع-مستجدات-تنفيذ-مشروع-مدينة-رأس-الحكمة/6962664,Youm7,2025-04-22 17:06:17
إيطاليا تعلن الحداد الوطنى لمدة خمسة أيام بعد وفاة البابا فرانسيس,إيطاليا تعلن الحداد الوطنى لمدة خمسة أيام بعد وفاة البابا فرانسيس,No date found,No date found,"أعلنت الحكومة الإيطالية اليوم، الثلاثاء، الحداد الوطنى لمدة خمسة أيام بعد وفاة بابا الفاتيكان البابا فرانسيس، الذى توفى أمس الاثنين عن عمر يناهز 88 عاما، وفقا لصحيفة المساجيرو الإيطالية.
وأشارت الصحيفة، إلى أنه المقرر أن يستمر الحداد حتى يوم السبت المقبل، حيث ستقام جنازة البابا الراحل خارج كنيسة القديس بطرس.
وكان الفاتيكان قد أعلن أمس، الإثنين، وذلك بعد مرور يوم واحد على دعوة البابا إلى إنهاء الحرب فى كل من أوكرانيا وقطاع غزة، وذلك خلال كلمته فى قداس عيد الفصح بساحة القديس بطرس.
واعتبر البابا أن عيد الفصح فرصة مناسبة للدعوة إلى تحرير أسرى الحرب والإفراج عن السجناء السياسيين، وظهر البابا وهو جالس على كرسى متحرك ويبدو متعبا، ولكنه تمكن من التلويح للحشود المتجمعة فى ساحة القديس بطرس، حيث هنأ الجميع بحلول عيد الفصح وتمنى لهم قضاء عيد سعيد.",https://www.youm7.com/story/2025/4/22/إيطاليا-تعلن-الحداد-الوطنى-لمدة-خمسة-أيام-بعد-وفاة-البابا/6962639,Youm7,2025-04-22 17:06:26
تقديم الساعة 60 دقيقة.. مجلس الوزراء: بدء التوقيت الصيفي الخميس المقبل,تقديم الساعة 60 دقيقة.. مجلس الوزراء: بدء التوقيت الصيفي الخميس المقبل,No date found,No date found,أعلن مجلس الوزراء عن بدء العمل بـ التوقيت الصيفي الخميس المقبل بـ تقديم الساعة 60 دقيقة، عند الساعة 12 صباحاً.,https://www.youm7.com/story/2025/4/22/تقديم-الساعة-60-دقيقة-مجلس-الوزراء-بدء-التوقيت-الصيفي-الخميس/6962616,Youm7,2025-04-22 17:06:36
وزير الخارجية: مصر ستواصل تقديم كافة أوجه الدعم للبنان,وزير الخارجية: مصر ستواصل تقديم كافة أوجه الدعم للبنان,No date found,No date found,"استقبل بدر عبد العاطي وزير الخارجية والهجرة اليوم الثلاثاء، يوسف رجي وزير الخارجية والمغتربين بالجمهورية اللبنانية الشقيقة.
ثمّن الوزير عبد العاطي العلاقات الأخوية والتاريخية التي تجمع مصر ولبنان، مؤكدًا على ما توليه مصر من أولوية لدعم الأمن والاستقرار بلبنان الشقيق وتضامنها الكامل معه في ظل التحديات التى يواجهها، مشددًا على أن مصر ستواصل تقديم كافة أوجه الدعم للبنان الشقيق وحكومته ومؤسساته الوطنية من أجل تحقيق الأمن والاستقرار، مؤكدًا على مساندة مصر للأولويات الوطنية اللبنانية الهادفة لتحقيق تطلعات الشعب اللبناني الشقيق، واستعداد مصر للعمل مع الجانب اللبناني لتحقيقها.
وأعرب وزير الخارجية عن تطلع مصر للارتقاء  بالتعاون الثنائي في كافة المجالات، مشيرًا إلى التطلع لانعقاد اللجنة المشتركة العليا بين البلدين على مستوى رئيسي الوزراء بالقاهرة في أقرب وقت، وتكثيف التعاون الاقتصادي بين البلدين الشقيقين، منوهًا إلى استعداد الشركات المصرية للمساهمة بفاعلية في عملية إعادة الإعمار في لبنان.
وأعرب الوزير عبد العاطي عن إدانة مصر الكاملة للاعتداءات الإسرائيلية على لبنان، مشددًا على رفض مصر المساس بسيادة لبنان وسلامة أراضيه، مؤكدًا ضرورة تنفيذ اتفاق وقف الأعمال العدائية، والانسحاب الفوري غير المنقوص للقوات الإسرائيلية من جنوب لبنان، وتطبيق القرار 1701 من جانب كل الأطراف دون انتقائية، بما يحفظ للبنان سيادته ووحدته وأمنه واستقراره.
كما تطرق الوزيران إلى عدد من القضايا الإقليمية تشمل التطورات في كل من غزة وسوريا، حيث استعرض الوزير عبد العاطي الجهود التي تبذلها مصر لاستئناف تنفيذ اتفاق وقف إطلاق النار في قطاع غزة، بما يسهم في تحقيق التهدئة واستعادة نفاذ المساعدات الإنسانية والإغاثية إلى قطاع غزة. كما تناول الخطة العربية - الإسلامية للتعافي المبكر وإعادة الإعمار بوجود الفلسطينيين على أرضهم والتحركات المقبلة لدعم الخطة مع الفاعلين الدوليين، متناولًا في هذا الصدد الجهود الخاصة باستضافة مصر لمؤتمر دولي لإعادة الإعمار في غزة بالتعاون مع الحكومة الفلسطينية والأمم المتحدة.
كما أكد وزير الخارجية حرص مصر على دعم الشعب السوري الشقيق واحترام سيادة ووحدة وسلامة الأراضي السورية، وأن تكون سوريا مصدر استقرار بالمنطقة.",https://www.youm7.com/story/2025/4/22/وزير-الخارجية-مصر-ستواصل-تقديم-كافة-أوجه-الدعم-للبنان/6962594,Youm7,2025-04-22 17:06:44
ممثل الصحة العالمية: مصر تعمل على توطين صناعة الأدوية واللقاحات والتشخيصات,ممثل الصحة العالمية: مصر تعمل على توطين صناعة الأدوية واللقاحات والتشخيصات,No date found,No date found,"قال الدكتور نعمة عبد ممثل منظمة الصحة العالمية فى مصر ، خلال المنتدى الأول لـ الإمداد الطبى، إن القوى العاملة عامل رئيسي في أداء سلسلة التوريد، لذا، هناك حاجة ماسة للتدريب قبل الخدمة وأثناءها، والتدريب المهني المستمر.
وأضاف، إن مصر تعمل على توطين إنتاج الأدوية والعلاجات، والتشخيصات، وكذلك اللقاحات،موضحا، إنه يجب أن يتم إنشاء خطوط إنتاج مرنة قادرة على تلبية الطلبات المتغيرة، لذا، ينبغي على الدول أيضًا الاستثمار في سلسلة التوريد الرقمية، تُعدّ التقنيات اللازمة لتعزيز وضوح تنسيقنا عبر مختلف المناطق والقطاعات، والاستعداد للطوارئ، أمرًا بالغ الأهمية لتجنب أي آثار مرتبطة بحالات الطوارئ، وللتعاون الدولي وفرنا منصة للتعاون الإقليمي، كما يُعدّ التواصل الشامل والديناميكي بشأن المخاطر أمرًا بالغ الأهمية، وأخيرًا وليس آخرًا، الشراكة بين القطاعين العام والخاص أمر هام جدا، كما يجب التركيز على الصحة الرقمية، وسلسلة التوريد، والإنتاج المحلي.
وأضاف، لقد مهدنا الطريق لنظام رعاية صحية أكثر مرونة في المستقبل، مؤكدا، إن الأسبوع الماضي الدول الأعضاء تكاد تتفق على اتفاقية الجائحة، بعد 3 سنوات من المفاوضات، عُقدت 13 جلسة، بالمناسبة، يُمثل منطقة شرق المتوسط السفير عمرو رمضان من مصر، ونأمل أن يتم اعتماد اتفاقية الجاحة من قِبل جمعية الصحة العالمية المقبلة خلال شهر مايو القادم.
تتعلق المادة 13 من اتفاقية الجائحة بسلسلة التوريد والخدمات اللوجستية الإجمالية، نظرًا لأهمية سلسلة التوريد والاستجابة للجائحة.",https://www.youm7.com/story/2025/4/22/ممثل-الصحة-العالمية-مصر-تعمل-على-توطين-صناعة-الأدوية-واللقاحات/6962520,Youm7,2025-04-22 17:06:52
